MN,CAW,Comair,COMMERCIAL,South Africa
C5,UCA,CommutAir,COMMUTAIR,United States
KR,CWK,Comores Airlines,CONTICOM,Comoros
CP,CPZ,Compass Airlines,COMPASS ROSE,United States
DE,CFG,Condor Flugdienst,CONDOR,Germany
CO,COA,Continental Airlines,CONTINENTAL,United States
CS,CMI,Continental Micronesia,AIR MIKE,United States
CS,CS,Cambrian Airways,Cambrian,United Kingdom
V0,VCV,Conviasa,CONVIASA,Venezuela
CM,CMP,Copa Airlines,COPA,Panama
CQ,CCW,Central Charter,CENTRAL CHARTER,Czech Republic
XC,CAI,Corendon Airlines,CORENDON,Turkey
CD,CND,Corendon Dutch Airlines,DUTCH CORENDON,Netherlands
XR,CXI,Corendon Airlines Europe,TOURISTIC,Malta
LF,VTE,Contour Airlines,VOLUNTEER,United States
SS,CRL,Corsairfly,CORSAIR,France
XK,CCM,Corse Méditerranée,CORSICA,France
F5,COZ,Cosmic Air,COSMIC AIR,Nepal
GW,CRG,Costa Rica Green Airways,nan,Costa Rica
7C,COY,Coyne Aviation,COYNE AIR,United Kingdom
OU,CTN,Croatia Airlines,CROATIA,Croatia
QE,ECC,Crossair Europe,Cigogne,Switzerland
CU,CUB,Cubana de Aviación,CUBANA,Cuba
CY,CYP,Cyprus Airways,CYPRUS,Cyprus
YK,KYV,Cyprus Turkish Airlines,AIRKIBRIS,Turkey
OK,CSA,Czech Airlines,CSA-LINES,Czech Republic
8L,CGP,Cargo Plus Aviation,nan,United Arab Emirates
5Z,KEM,CemAir,CEMAIR,South Africa
XG,CLI,Clickair,CLICKJET,Spain
PN,CHB,West Air (China),WEST CHINA,China
DL,DLH,Deutsche Luft Hansa,DEUTSCHE LUFT HANSA,Germany
V5,VPA,DanubeWings,VIP TAXI,Slovakia
WD,DSR,DAS Air Cargo,DAIRAIR,Uganda
DX,DTR,DAT Danish Air Transport,DANISH,Denmark
D0,DHK,DHL Air Limited,WORLD EXPRESS,United Kingdom
ES,DHX,DHL International,DILMUN,Bahrain
L3,JOS,DHL de Guatemala,nan,Guatemala
D3,DAO,Daallo Airlines,DALO AIRLINES,Djibouti
N2,DAG,Dagestan Airlines,DAGAL,Russia
CA,CCD,Dalian Airlines,XIANGJIAN,China
H8,KHB,Dalavia,DALAVIA,Russia
DD,DDL,Danish Air Lines,nan,Denmark
0D,DWT,Darwin Airline,DARWIN,Switzerland
D5,DAU,Dauair,DAUAIR,Germany
DL,DAL,Delta Air Lines,DELTA,United States
J7,DNM,Denim Air,DENIM,Netherlands
1I,AMB,Deutsche Rettungsflugwacht,CIVIL AIR AMBULANCE,Germany
AW,DIR,Dirgantara Air Service,DIRGANTARA,Indonesia
DH,DVA,Discovery Airways,DISCOVERY AIRWAYS,United States
Z6,UDN,Dniproavia,DNIEPRO,Ukraine
YU,ADM,Dominair,DOMINAIR,Dominican Republic
DO,DOA,Dominicana de Aviación,DOMINICANA,Dominican Republic
E3,DMO,Domodedovo Airlines,DOMODEDOVO,Russia
D9,DNV,Donavia,DONAVIA,Russia
5D,UDC,DonbassAero,DONBASS AERO,Ukraine
DZ,EPA,Donghai Airlines,DONGHAI AIR,China
KB,DRK,Druk Air,ROYAL BHUTAN,Bhutan
DI,BAG,Dba,SPEEDWAY,Germany
HO,DKH,Juneyao Air,AIR JUNEYAO,China
MQ,ENY,Envoy Air,ENVOY,United States
EL,ELB,Ellinair,ELLINAIR HELLAS,Greece
9E,EDV,Endeavor Air,ENDEAVOR,United States
VE,EUJ,EUjet,UNION JET,Ireland
H7,EGU,Eagle Air,AFRICAN EAGLE,Uganda
NZ,EAG,Eagle Airways,EAGLE,New Zealand
9A,EZX,Eagle Express Air Charter,EAGLEXPRESS,Malaysia
S9,HSA,East African Safari Air,DUMA,Kenya
E3,EMU,East Asia Airlines,EAST ASIA,Macao
ZE,ESR,Eastar Jet,EASTAR,South Korea
EA,EAL,Eastern Air Lines,EASTERN,United States
T3,EZE,Eastern Airways,EASTFLIGHT,United Kingdom
QF,EAQ,Eastern Australia Airlines,EASTERN,Australia
DK,ELA,Eastland Air,nan,Australia
W9,SGR,Eastwind Airlines,STINGER,United States
EC,EJU,easyJet Europe,ALPINE,Austria
DS,EZS,easyJet Switzerland,TOPSWISS,Switzerland
U2,EZY,easyJet UK,EASY,United Kingdom
WK,EDW,Edelweiss Air,EDELWEISS,Switzerland
MS,MSR,Egyptair,EGYPTAIR,Egypt
LY,ELY,El Al Israel Airlines,ELAL,Israel
UZ,BRQ,El-Buraq Air Transport,BURAQAIR,Libya
EA,EAI,Emerald Airlines,GEMSTONE,Ireland
EK,UAE,Emirates Airlines,EMIRATES,United Arab Emirates
EM,CFS,Empire Airlines,EMPIRE AIR,United States
EU,EEA,Empresa Ecuatoriana De Aviación,ECUATORIANA,Ecuador
G8,ENK,Enkor JSC,ENKOR,Russia
OF,ENT,Enter Air,ENTER,Poland
E0,ESS,Eos Airlines,NEW DAWN,United States
B8,ERT,Eritrean Airlines,ERITREAN,Eritrea
E7,ESF,Estafeta Carga Aérea,nan,Mexico
OV,ELL,Estonian Air,ESTONIAN,Estonia
ET,ETH,Ethiopian Airlines,ETHIOPIAN,Ethiopia
EY,ETD,Etihad Airways,ETIHAD,United Arab Emirates
MM,MMZ,EuroAtlantic Airways,EUROATLANTIC,Portugal
M9,SEB,Euroavia Airlines,EURO AVIA,Cyprus
UI,ECA,Eurocypria Airlines,EUROCYPRIA,Cyprus
GJ,EEZ,Eurofly,E-FLY,Italy
K2,ELO,Eurolot,EUROLOT,Poland
3W,EMX,Euromanx Airways,EUROMANX,Austria
5O,FPO,Europe Airpost,FRENCH POST,France
EA,EAL,European Air Express,STAR WING,Germany
QY,BCS,European Air Transport,POSTMAN,Belgium
E7,EAF,European Aviation Air Charter,EUROCHARTER,United Kingdom
EW,EWG,Eurowings,EUROWINGS,Germany
4Y,OCN,Eurowings Discover,OCEAN,Germany
E6,EWL,Eurowings Europe,Black Pearl,Malta
BR,EVA,EVA Air,EVA,Taiwan
EZ,EIA,Evergreen International Airlines,EVERGREEN,United States
ZD,EWR,Ewa Air,MAYOTTE AIR,France
JN,XLA,Excel Airways,EXPO,United Kingdom
MB,EXA,Execair Aviation,CANADIAN EXECAIRE,Canada
OW,EXK,Executive Airlines,EXECUTIVE EAGLE,United States
EO,LHN,Express One International,LONGHORN,United States
EV,ASQ,ExpressJet,ACEY,United States
8K,EVS,Exploits Valley Air Services,EVAS,Canada
FE,FEA,Far Eastern Air Transport,Far Eastern,Taiwan
F6,RCK,FaroeJet,ROCKROSE,Faroe Islands
F3,FSW,Faso Airways,FASO,Burkina Faso
FX,FDX,FedEx Express,FEDEX,United States
N8,HGK,Fika Salaama Airlines,SALAAMA,Uganda
4S,FNC,Finalair Congo,FINALAIR CONGO,Republic of the Congo
AY,FIN,Finnair,FINNAIR,Finland
FC,WBA,Finncomm Airlines,WESTBIRD,Finland
FY,FFM,Firefly,FIREFLY,Malaysia
7F,FAB,First Air,FIRST AIR,Canada
8F,FFR,Fischer Air,FISCHER,Czech Republic
8D,EXV,FitsAir,EXPOAVIA,Sri Lanka
F8,FLE,Flair Airlines,FLAIR,Canada
B5,FLT,Flightline,FLIGHTLINE,United Kingdom
PA,FCL,Florida Coastal Airlines,FLORIDA COASTAL,United States
RF,FWL,Florida West International Airways,FLO WEST,United States
F2,FLM,Fly Air,FLY WORLD,Turkey
8W,EDR,Fly All Ways,BIRDVIEW,Suriname
G6,ACY,Fly Arna,ARNA,Armenia
9Y,FGE,Fly Georgia,GEORGIA WING,Georgia
OJ,FJM,Fly Jamaica Airways,GREENHEART,Jamaica
9P,FJL,Fly Jinnah,Okaab,Pakistan
SH,FLY,Fly Me Sweden,FLYBIRD,Sweden
FP,PVV[23],Fly Pro,Sunday,Moldova
6P,IAD,Fly Wex,FLYWEX,Italy
F6,VAW,Fly2Sky,SOFIA JET,Bulgaria
D7,XFA,FlyAsianXpress,FAX AIR,Malaysia
F7,BBO,Flybaboo,BABOO,Switzerland
BE,BEE,Flybe,JERSEY,United Kingdom
FO,FBZ,Flybondi,BONDI,Argentina
FT,FEG,FlyEgypt,SKY EGYPT,Egypt
Y2,GSM,Flyglobespan,GLOBESPAN,United Kingdom
SX,TOR,FlyGTA Airlines,HOMERUN,Canada
W3,FYH,Flyhy Cargo Airlines,FLY HIGH,Thailand
TE,LIL,FlyLal,LITHUANIA AIR,Lithuania
XY,KNE,Flynas,NAS EXPRESS,Saudi Arabia
LF,NDC,FlyNordic,NORDIC,Sweden
FP,FRE,FlyPelican,PELICAN,Australia
FS,FOX,Flyr,GREENSTAR,Norway
VK,FVK,FlyViking,BALDER,Norway
VY,FOS,Formosa Airlines,nan,Taiwan
5F,FIA,FlyOne,FIA,Moldova
3F,FIE,FlyOne Armenia,ARMRIDER,Armenia
HK,FSC,Four Star Aviation / Four Star Cargo,FOUR STAR,United States
FH,FHY,Freebird Airlines,FREEBIRD AIR,Turkey
SJ,FOM,Freedom Air,FREE AIR,New Zealand
FP,FRE,Freedom Air,FREEDOM,United States
F9,FFT,Frontier Airlines,FRONTIER FLIGHT,United States
2F,FTA,Frontier Flying Service,FRONTIER-AIR,United States
FH,FUA,Futura International Airways,FUTURA,Spain
FZ,FDB,Flydubai,SKYDUBAI,UAE
Y5,GMR,Golden Myanmar Airlines,GOLDEN MYANMAR,Myanmar
GT,GBL,GB Airways,GEEBEE AIRWAYS,United Kingdom
Z5,GMG,GMG Airlines,GMG,Bangladesh
7O,GAL,Galaxy Air,GALAXY,Kyrgyzstan
GC,GNR,Gambia International Airlines,GAMBIA INTERNATIONAL,Gambia
G7,GNF,Gandalf Airlines,Gandalf,Italy
GA,GIA,Garuda Indonesia,INDONESIA,Indonesia
4G,GZP,Gazpromavia,GAZPROMAVIA,Russia
GR,GCO,Gemini Air Cargo,GEMINI,United States
A9,TGZ,Georgian Airways,TAMAZI,Georgia
QB,GFG,Georgian National Airlines,NATIONAL,Georgia
HE,LGW,German Airways,WALTER,Germany
ST,GMI,Germania,GERMANIA,Germany
4U,GWI,Germanwings,GERMAN WINGS,Germany
GP,RIV,APG Airlines,RIVERA,France
GH,GLP,Globus Airlines,GLOBUS,Russia
GH,GHA,Ghana Airways,GHANA,Ghana
G0,GHB,Ghana International Airlines,GHANA AIRLINES,Ghana
6G,RLX,Go2Sky,RELAX,Slovakia
G8,GOW,GoAir,GOAIR,India
G7,GJS,GoJet Airlines,LINDBERGH,United States
G3,GLO,Gol Transportes Aéreos,GOL TRANSPORTE,Brazil
DC,GAO,Golden Air,GOLDEN,Sweden
5Z,GON,Gonini Air Services,GONINI,Suriname
GV,GUN,Grant Aviation,HOOT,United States
ZK,GLA,Great Lakes Airlines,LAKES AIR,United States
IJ,GWL,Great Wall Airlines,GREAT WALL,China
HB,HGB,Greater Bay Airlines,GREATER BAY,Hong Kong
G6,BSR,Guine Bissaur Airlines,BISSAU AIRLINES,Guinea-Bissau
J9,GIF,Guinee Airlines,GUINEE AIRLINES,Guinea
G8,GUJ,Gujarat Airways,GUJARATAIR,India
GF,GFA,Gulf Air,GULF AIR,Bahrain
EO,ALX,Hewa Bora Airways,ALLCONGO,Democratic Republic of the Congo
A5,HOP,Hop!,AIR HOP,France
H6,HAG,Hageland Aviation Services,HAGELAND,United States
HR,HHN,Hahn Air,ROOSTER,Germany
HU,CHH,Hainan Airlines,HAINAN,China
2T,HAM,Haiti Ambassador Airlines,nan,Haiti
4R,HHI,Hamburg International,HAMBURG JET,Germany
X3,HLX,Hapag-Lloyd Express,YELLOW CAB,Germany
HF,HLF,Hapagfly,HAPAG LLOYD,Germany
HB,HAR,Harbor Airlines,HARBOR,United States
HQ,HMY,Harmony Airways,HARMONY,Canada
HA,HAL,Hawaiian Airlines,HAWAIIAN,United States
HN,HVY,Heavylift Cargo Airlines,HEAVY CARGO,Australia
NS,HBH,Hebei Airlines,HEBEI AIR,China
JB,JBA,Helijet,HELIJET,Canada
ZU,HCY,Helios Airways,HELIOS,Cyprus
9I,HTA,Helitrans,SCANBIRD,Norway
HJ,HEJ,Hellas Jet,HELLAS JET,Greece
HW,FHE,Hello,FLYHELLO,Switzerland
2L,OAW,Helvetic Airways,HELVETIC,Switzerland
UD,HER,Hex'Air,HEX AIRLINE,France
5K,HFY,Hi Fly,SKY FLYER,Portugal
H9,HIM,Himalaya Airlines,HIMALAYA,Nepal
H7,HYM,HiSky,SKY MOLDOVA,Moldova
H4,HYS,HiSky Europe,SKY EUROPE,Romania
VM,VMS,His Majesty King Maha Vajiralongkorn,VICTOR MIKE[27],Thailand
H5,HOA,Hola Airlines,HOLA,Spain
HC,HCC,Holidays Czech Airlines,CZECH HOLIDAYS,Czech Republic
HX,CRK,Hong Kong Airlines,BAUHINIA,Hong Kong
RH,HKC,Hong Kong Air Cargo,MASCOT,Hong Kong
UO,HKE,Hong Kong Express Airways,HONGKONG SHUTTLE,Hong Kong
A6,HTU,Hongtu Airlines,HONGLAND,China
QX,QXE,Horizon Air,HORIZON AIR,United States
BN,HZA,Horizon Airlines,HORIZON,Australia
HJ,USW,HumoAir,AKSAR,Uzbekistan
HW,UBD,FlyErbil,HAWLER,Iraqi Kurdistan
MR,MML,Hunnu Air,TRANS MONGOLIA,Mongolia
I4,EXP,Island Air Express,ISLAND EXPRESS,United States
IK,KAR,Ikar,IKAR,Russian Federation
IB,IBE,Iberia Airlines,IBERIA,Spain
II,CSQ,IBC Airways,CHASQUI,United States
I2,IBS,Iberia Express,IBEREXPRESS,Spain
TY,IWD,Iberworld,IBERWORLD,Spain
FW,IBX,Ibex Airlines,IBEX,Japan
0C,IBL,IBL Aviation,CATOVAIR,Mauritius
C3,IPR,Independent Carrier (ICAR),ICAR,Ukraine
FI,ICE,Icelandair,ICEAIR,Iceland
V8,IAR,Iliamna Air Taxi,ILIAMNA AIR,United States
DH,IDE,Independence Air,INDEPENDENCE AIR,United States
I7,IOA,IndiaOne Air,INDIA FIRST,India
6E,IGO,IndiGo,IFLY,India
IC,IAC,Indian Airlines,INDAIR,India
I9,IBU,Indigo Airlines,INDIGO BLUE,United States
VP,AXC,Indochina Airlines,AIRSPUP,Vietnam
QZ,AWQ,Indonesia AirAsia,WAGON AIR,Indonesia
IO,IAA,Indonesian Airlines,INDO LINES,Indonesia
H4,IIN,Inter Island Airways,nan,Cape Verde
D6,ILN,Interair South Africa,INLINE,South Africa
ZA,SUW,Interavia Airlines,ASTAIR,Russia
JY,IWY,InterCaribbean Airways,ISLANDWAYS,Turks and Caicos Islands
RS,ICT,Intercontinental de Aviación,CONTAVIA,Colombia
4O,AIJ,Interjet,ABC AEROLINEAS,Mexico
ID,ITK,Interlink Airlines,INTERLINK,South Africa
3L,ISK,Intersky,INTERSKY,Austria
I4,FWA,Interstate Airlines,FREEWAYAIR,Netherlands
IR,IRA,Iran Air,IRANAIR,Iran
EP,IRC,Iran Aseman Airlines,ASEMAN,Iran
B9,IRB,Iran Airtour,AIRTOUR,Iran
IA,IAW,Iraqi Airways,IRAQI,Iraq
IH,MZA,Irtysh Air,IRTYSH AIRLINES,Kazakhstan
2S,SDY,Island Express,SANDY ISLE,United States
IF,ISW,Islas Airways,PINTADERA,Spain
WC,ISV,Islena De Inversiones,nan,Honduras
6H,ISR,Israir,ISRAIR,Israel
AZ,ITY,ITA Airways,ITARROW,Italy
FS,ACL,Itali Airlines,SPADA,Italy
GI,IKA,Itek Air,ITEK-AIR,Kyrgyzstan
H9,IZM,Izair,IZMIR,Turkey
JC,JEX,JAL Express,JANEX,Japan
JO,JAZ,JALways,JALWAYS,Japan
MT,JMC,JMC Airlines,JAYEMMSEE,United Kingdom
JI,JAE,Jade Cargo International,JADE CARGO,China
3X,JAC,Japan Air Commuter,COMMUTER,Japan
JL,JAL,Japan Airlines,JAPANAIR,Japan
JL,JAL,Japan Airlines Domestic,J-BIRD,Japan
EG,JAA,Japan Asia Airways,ASIA,Japan
NU,JTA,Japan Transocean Air,JAI OCEAN,Japan
JA,JAT,JetSMART,ROCKSMART,Chile
JZ,JAP,JetSMART Perú,RED SMART,Peru
WJ,JES,JetSMART Argentina,SMARTBIRD,Argentina
JU,JAT,Jat Airways,JAT,Serbia
VJ,JTY,Jatayu Airlines,JATAYU,Indonesia
J9,JZR,Jazeera Airways,JAZEERA,Kuwait
7C,JJA,Jeju Air,JEJU AIR,Republic of Korea
O2,JEA,OLT Express,JETA,Poland
9W,JAI,Jet Airways,JET AIRWAYS,India
PP,PJS,Jet Aviation,JETAVIATION,Switzerland
3K,JSA,Jetstar Asia Airways,JETSTAR ASIA,Singapore
LS,EXS,Jet2.com,CHANNEX,United Kingdom
B6,JBU,JetBlue Airways,JETBLUE,United States
JF,JAA,Jet Asia Airways,JET ASIA,Thailand
0J,JCS,Jetclub,JETCLUB,Switzerland
SG,JGO,JetsGo,JETSGO,Canada
JQ,JST,Jetstar,JETSTAR,Australia
GK,JJP,Jetstar Japan,ORANGE LINER,Japan
JM,JKT,Jetstar Hong Kong Airways,KAITAK,China
JX,JEC,Jett8 Airlines Cargo,TAIPAN,Singapore
JO,JTD,Jettime,JETTIME,Denmark
GX,JXX,JetX Airlines,JETBIRD,Iceland
LJ,JNA,Jin Air,JIN AIR,South Korea
R5,JAV,Jordan Aviation,JORDAN AVIATION,Jordan
J4,JCI,Jordan International Air Cargo,nan,Jordan
XE,JSX,JSX (airline),BIGSTRIPE,United States
6J,JUB,Jubba Airways,JUBBA,Somalia
HO,DKH,Juneyao Airlines,AIR JUNEYAO,China
KW,KHK,Kharkiv Airlines,SUNRAY,Ukraine
KD,KLS,Kalstar Aviation,KALSTAR,Indonesia
KD,KNI,KD Avia,KALININGRAD AIR,Russia
WA,KLC,KLM Cityhopper,CITY,Netherlands
KL,KLM,KLM,KLM,Netherlands
N2,QNK,Kabo Air,KABO,Nigeria
KI,KAI,KaiserAir,KAISER,United States
K4,CKS,Kalitta Air,CONNIE,United States
K9*,KFS,Kalitta Charters,KALITTA,United States
K5*,KII,Kalitta Charters II,DRAGSTER,United States
RQ,KMF,Kam Air,KAMGAR,Afghanistan
E2,KMP,Kampuchea Airlines,KAMPUCHEA,Cambodia
V2,AKT,Karat,AVIAKARAT,Russia
KV,MVD,Kavminvodyavia,AIR MINVODY,Russia
3Q,KCH,KC International Airlines,CAM AIR,Cambodia
KW,KFA,Kelowna Flightcraft Air Charter,FLIGHTCRAFT,Canada
M5,KEN,Kenmore Air,KENMORE,United States
KQ,KQA,Kenya Airways,KENYA,Kenya
ZN,KEY,Key Airlines,KEY AIR,United States
KG,LYM,Key Lime Air,KEY LIME,United States
BZ,KEE,Keystone Air Service,KEYSTONE,Canada
K6,KZW,Khalifa Airways,KHALIFA AIR,Algeria
X9 KO,KHO,Khors Aircompany,AIRCOMPANY KHORS,Ukraine
IT,KFR,Kingfisher Airlines,KINGFISHER,India
4I,KNX,Knighthawk Air Express,KNIGHT FLIGHT,Canada
Y9,IRK,Kish Air,KISHAIR,Iran
KR,KHA,Kitty Hawk Aircargo,AIR KITTYHAWK,United States
2K,KHC,Kitty Hawk Airways,CARGO HAWK,United States
KP,KIA,Kiwi International Air Lines,KIWI AIR,United States
KY,KNA,Kunming Airlines,KUNMING AIR,China
7K,KGL,Kogalymavia Air Company,KOGALYM,Russia
8J,KMV,Komiinteravia,KOMIINTER,Russia
KE,KAL,Korean Air,KOREANAIR,South Korea
7B,KJC,Krasnojarsky Airlines,KRASNOJARSKY AIR,Russia
K9,KRI,Krylo Airlines,Krylo,Russia
GW,KIL,Kuban Airlines,AIR KUBAN,Russia
VD,KPA,Kunpeng Airlines,KUNPENG,China
KU,KAC,Kuwait Airways,KUWAITI,Kuwait
GO,KZU,Kuzu Airlines Cargo,KUZU CARGO,Turkey
N5,KGZ,Kyrgyz Airlines,BERMET,Kyrgyzstan
QH,LYN,Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
R8,KGA,Kyrgyzstan Airlines,KYRGYZ,Kyrgyzstan
FK,KEW,Keewatin Air,BLIZZARD,Canada
JS,KOR,Air Koryo,AIR KORYO,North Korea
YL,LWA,Libyan Wings,LIBYAN WINGS,Libya
YQ,LCT,TAR Aerolineas,TAR,Mexico
JF,LAB,L.A.B. Flying Service,LAB,United States
LR,LRC,LACSA,LACSA,Costa Rica
KG,BNX,LAI - Línea Aérea IAACA,AIR BARINAS,Venezuela
4M,DSM,LATAM Argentina,LAN AR,Argentina
JJ,TAM,LATAM Brasil,TAM,Brazil
UC,LCO,LATAM Cargo Chile,LAN CARGO,Chile
LA,LAN,LATAM Chile,LAN CHILE,Chile
4C,ARE,LATAM Colombia,LAN COLOMBIA,Colombia
XL,LNE,LATAM Airlines Ecuador,AEROLANE,Ecuador
LU,LXP,LATAM Express,LANEX,Chile
PZ,LAP,LATAM Paraguay,PARAGUAYA,Paraguay
LP,LPE,LATAM Peru,LANPERU,Peru
LO,LOT,LOT Polish Airlines,POLLOT,Poland
XO,LTE,LTE International Airways,FUN JET,Spain
L3,LTO,LTU Austria,BILLA TRANSPORT,Austria
LT,LTU,LTU International,LTU,Germany
N6,JEV,Lagun Air,nan,Spain
IK,LKN,Lankair,Lankair,Sri Lanka
QL,RLN,Lankan Cargo,AERO LANKA,Sri Lanka
QV,LAO,Lao Airlines,LAO,Lao People's Democratic Republic
L7,LPN,Laoag International Airlines,LAOAG AIR,Philippines
NG,LDA,Lauda Air,LAUDA AIR,Austria
OE[34],LDM,LaudaMotion,LAUDA MOTION,Austria
LQ,LAQ,Lebanese Air Transport,LAT,Lebanon
LI,LIA,Leeward Islands Air Transport,LIAT,Antigua and Barbuda
LL,LVL,Level,LEVEL,Spain
LN,LAA,Libyan Arab Airlines,LIBAIR,Libya
L7,LNP,Línea Aérea SAPSA,SAPSA,Chile
QL,LER,Línea Aérea de Servicio Ejecutivo Regional,LASER,Venezuela
ZE,LCD,Líneas Aéreas Azteca,LINEAS AZTECA,Mexico
TM,LAM,Linhas Aéreas de Moçambique,MOZAMBIQUE,Mozambique
JT,LNI,Lion Air,LION INTER,Indonesia
LM,LVG,Livingston Energy Flight,LIVINGSTON,Italy
LT,SNG,LJ Air,SNOW EAGLE,China
LB,LLB,Lloyd Aéreo Boliviano,LLOYDAEREO,Bolivia
LM,LOG,Loganair,LOGAN,United Kingdom
GI,LHA,Longhao Airlines,AIR CANTON,China
GJ,CDC,Loong Air,LOONG AIR,China
LH,DLH,Lufthansa,LUFTHANSA,Germany
LH,GEC,Lufthansa Cargo,LUFTHANSA CARGO,Germany
CL,CLH,Lufthansa CityLine,HANSALINE,Germany
L5,LTR,Lufttransport,LUFT TRANSPORT,Norway
LG,LGL,Luxair,LUXAIR,Luxembourg
5V,UKW,Lviv Airlines,UKRAINE WEST,Ukraine
L2,LYC,Lynden Air Cargo,LYNDEN,United States
Y9,DAT,Lynx Air,DAUNTLESS,Canada
L4,SSX,Lynx Aviation,SHASTA,United States
Z8,AZN,Línea Aérea Amaszonas,nan,Bolivia
MJ,LPR,Líneas Aéreas Privadas Argentinas,LAPA,Argentina
LT,SNG,LongJiang Airlines,SNOW EAGLE,China
Q2,DQA,Maldivian,ISLAND AVIATION,Maldives
BF,MRK,MarkAir,MARKAIR,United States
WD,MWM,Modern Transporte Aereo De Carga,MODERNAIR,Brazil
NR,MAV,Manta Air,SEA WING,Maldives
OD,MXD,Malindo Airways,MALINDO EXPRESS,Malaysia
AQ,MPJ,MAP-Management and Planung,MAPJET,Austria
M7,MAA,MasAir,MAS CARGA,Mexico
MY,MWG,MASwings,MASWINGS,Malaysia
IN,MAK,MAT Macedonian Airlines,MAKAVIO,Macedonia
OM,MGL,MIAT Mongolian Airlines,MONGOL AIR,Mongolia
MB,MNB,MNG Airlines,BLACK SEA,Turkey
CC,MCK,Macair Airlines,nan,Australia
DM,DAN,Maersk Air,MAERSKAIR,Denmark
VB,MSK,Maersk Air UK,BLUESTAR,United Kingdom
W5,IRM,Mahan Air,MAHAN AIR,Iran
M2,MZS,Mahfooz Aviation,MAHFOOZ,Gambia
MH,MAS,Malaysia Airlines,MALAYSIAN,Malaysia
DB,MLT,Maleth-Aero,nan,Malta
TF,SCW,Malmö Aviation,SCANWING,Sweden
R5,MAC,Malta Air Charter,MALTA CHARTER,Malta
MA,MAH,Malév Hungarian Airlines,MALEV,Hungary
RI,MDL,Mandala Airlines,MANDALA,Indonesia
AE,MDA,Mandarin Airlines,MANDARIN,Taiwan
JE,MNO,Mango,TULCA,South Africa
6V,MRW,Mars RK,AVIAMARS,Ukraine
M7,MSL,Marsland Aviation,MARSLANDAIR,Sudan
MP,MPH,Martinair,MARTINAIR,Netherlands
H5,MVL,Mavial Magadan Airlines,Mavial,Russia
8M,MXL,Maxair,MAXAIR,Sweden
MY,MXJ,Maxjet Airways,MAX-JET,United States
MW,MYD,Maya Island Air,MYLAND,Belize
7M,MYI,Mayair,MAYAIR,Mexico
M8,MKN,Mekong Airlines,MEKONG AIRLINES,Cambodia
IM,MNJ,Menajet,MENAJET,Lebanon
IG,ISS,Meridiana,MERIDIANA,Italy
MZ,MNA,Merpati Nusantara Airlines,MERPATI,Indonesia
YV,ASH,Mesa Airlines,AIR SHUTTLE,United States
XJ,MES,Mesaba Airlines,MESABA,United States
GJ,MXC,Mexicargo,MEXICARGO,Mexico
LL,BSK,Miami Air International,BISCAYNE,United States
ME,MEA,Middle East Airlines,CEDAR JET,Lebanon
JI,MDW,Midway Airlines (1993–2003),MIDWAY,United States
ML,MDW,Midway Airlines (1976–1991),MIDWAY,United States
YX,MEP,Midwest Airlines,MIDEX,United States
MY,MWA,Midwest Airlines (Egypt),nan,Egypt
MJ,MLR,Mihin Lanka,MIHIN LANKA,Sri Lanka
XV,MVA,Mississippi Valley Airlines,VALAIR,United States
M4,MSA,Mistral Air,AIRMERCI,Italy
MW,MUL,Mokulele Airlines,MUKULELE,United States
2M,MDV,Moldavian Airlines,MOLDAVIAN,Moldova
ZB,MON,Monarch Airlines,MONARCH,United Kingdom
YM,MGX,Montenegro Airlines,MONTENEGRO,Montenegro
5M,MNT,Montserrat Airways,MONTSERRAT,Montserrat
3R,GAI,Moskovia Airlines,GROMOV AIRLINE,Russia
M9,MSI,Motor Sich Airlines,MOTOR SICH,Ukraine
NM,NZM,Mount Cook Airline,MOUNTCOOK,New Zealand
N4,MTC,Mountain Air Company,MOUNTAIN LEONE,Sierra Leone
Z9,MYM,MYAirline,MYAIR,Malaysia
VZ,MYT,MyTravel Airways,KESTREL,United Kingdom
UB,UBA,Myanma Airways,UNIONAIR,Myanmar
8M,MMA,Myanmar Airways International,MYANMAR,Myanmar
M2,MHV,MHS Aviation GmbH,SNOWCAP,Germany
NP,NIA,Nile Air,NILE BIRD,Egypt
6N,NIN,Niger Airlines,NIGER AIRLINES,Niger
N5,FEY,Fly Easy,FLYEASY,India
DV,ACK,Nantucket Airlines,ACK AIR,United States
UE,NAS,Nasair,NASAIRWAYS,Eritrea
N4,NCN,National Airlines,nan,Chile
N7,ROK,National Airlines,RED ROCK,United States
N8,NCR,National Air Cargo dba National Airlines,NATIONAL CARGO,United States
9Y,NAE,National Airways Ethiopia,NATIONAL,Ethiopia
IN,NIH,NAM Air,NAM,Indonesia
NC*,JTE,National Jet Express,JETEX,Australia
NC*,NJS,National Jet Systems,NATIONAL JET,Australia
CE,NTW,Nationwide Airlines,NATIONWIDE,South Africa
RA,RNA,Nepal Airlines,ROYAL NEPAL,Nepal
NO,NOS,Neos,MOONFLOWER,Italy
NE,NMA,Nesma Airlines,NESMA,Egypt
1I,EJA,NetJets,EXECJET,United States
EJ,NEA,New England Airlines,NEW ENGLAND,United States
2N,NTJ,NextJet,NEXTJET,Sweden
HG,NLY,Niki,FLYNIKI,Austria
KZ,NCA,Nippon Cargo Airlines,NIPPON CARGO,Japan
